u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr[0] loads=1074
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[0]_rep_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[0]_rep__0_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[0]_rep__1_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[0]_rep__2_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[0]_rep__3_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[0]_rep__4_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[0]_rep__5_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[0]_rep__6_n_0 loads=352
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr[1] loads=1065
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[1]_rep_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[1]_rep__0_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[1]_rep__1_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[1]_rep__2_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[1]_rep__3_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[1]_rep__4_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[1]_rep__5_n_0 loads=1056
u_top/u_core/u_b/u_b_core/core/core/l5/gk.frontend/fifo/wr_ptr_reg[1]_rep__6_n_0 loads=352
